file	bytes	lines	sha256
COMBINED_PIPELINE_RANKING_EVALUATION.md	44968	516	449e7cfc124392fd40248f89e493dcd2d0fdbc916df0607f27f17a7c93784e9b
CPT_RANKING_EVALUATION.md	33787	472	52a789d79c2441c92f9018569a4ba2852c03c890d2f89826d01d336189a7042f
DATASET_COVERAGE_GAP_ANALYSIS.md	50940	1083	e7ff0ecf9cdb6972f1ead65f17a3d0ef7ff11b3fc94758fd7dc14ae7a2496ddd
DATA_SUFFICIENCY_ANALYSIS.md	38183	604	3d7fc0b0d469013bfd7c665864004d2af8f25c9f1838a6df3fdbbcfb82dee7ea
DATA_SUFFICIENCY_VERDICT.md	18367	338	823fcb36cc4fae4526c45d5358003c58149f9afe61e517e5138c302d87e509ea
EXHAUSTIVE_KNOWLEDGE_INJECTION_RESEARCH.md	68967	1340	a10dda77359c184e0300c480c7a6784cbfd1e35b76cba78fb4b67ef33fa211a1
EXTREME_QUANTIZATION_RANKING_EVALUATION.md	55909	685	63bea98a870a34acb2218be8e3ff63e4d2af93b3407928e0182e37477a710654
FINAL_RANKING_AND_PLAN.md	13781	266	72f0b56c1db032b1c7d9726f5dcc98481759833df74b1b6941d99b54b37171cf
MARITIME_DATA_SOURCING_GUIDE.md	71240	1742	1c1b70551994811472ca11d32acd8ecf741bbcb3bb408b754978faa944cff6ac
MARITIME_FREE_DATA_SOURCING_DEEP_RESEARCH.md	42716	1174	125f298e6044fd7a41578cf4762ad7064f15103b26474ceaa2e5f018f3817d8e
MASTER_RESEARCH_SUMMARY.md	3359	49	4b339e57619c0bbd7374b1f4e5e4ba3380689d8430e2cd57cf048a629fe074eb
MISSING_TOPICS_AND_DATA_COLLECTION_PLAN.md	25923	423	0698f6cf7b0ec2e6fda16f2d98334adeffb3cf54f03e221aba8a08662f835ac1
MODEL_MERGING_RANKING_EVALUATION.md	40466	616	ccf40dc2e226c997b910761198816232ecd07e9d784d7b5ab6a1d94fa8507e8c
PRETRAINING_FROM_SCRATCH_RANKING_EVALUATION.md	51258	598	fede1f942876b24c5bf4921de97c8a2c3634d9860fcc014764ec75f5aa66c07e
PRUNING_SPARSIFICATION_RANKING_EVALUATION.md	66609	856	87f7bb99363476f73a52a947748198169dbb256072b6c533997ddf96a2f56bb0
QLORA_KNOWLEDGE_INJECTION_DEEP_DIVE.md	78340	1198	6097792e1b2bb4384325991f9e8484a1eb7a828a81f7ad6b5c0b9f5c6a16ac3f
REASONING_DISTILLATION_RANKING_EVALUATION.md	58750	747	5dbd16ca9ebe86e575eaadfd0931dcee7d59beef9b3785cf64ffc7f480d7ff77
RL_METHODS_RANKING_EVALUATION.md	54942	650	045aa13ac30262cab6ef11b789d6a16ac0ad6f1a2d549b9fb8a87e3654ada716
SFT_RANKING_EVALUATION.md	36550	580	b2a13230fd48c5342318194436c85a943badb707e50b5a1bf49103133bcdad90
SHIP_AI_CHATBOT_PLAN.md	40828	1092	286fb94af09df83f8edd223679014426b747f4b255770ab1c58d2e2c4c670471
Small_Language_Models_Edge_Devices_Report_2025.md	296804	6040	02909e09e7c693a8ec8c090fc29c186369acf763c1cf71622c31bf9291897c99
TEST_TIME_COMPUTE_SCALING_RANKING_EVALUATION.md	58548	763	0ad4768c65653fdab29b18f3bfb06992bdaf243469e3c0db7eee71b250222824
